"country","age_group","start_date","end_date","total_rsv_hospitalisations","season"
"Germany","60-64",2027-08-30,2028-08-27,1561,"2027/2028"
"Germany","65-69",2027-08-30,2028-08-27,2145,"2027/2028"
"Germany","70-74",2027-08-30,2028-08-27,3041,"2027/2028"
"Germany","75-79",2027-08-30,2028-08-27,3395,"2027/2028"
"Germany","80+",2027-08-30,2028-08-27,16354,"2027/2028"
"Greece","0-2mo",2026-08-31,2027-08-29,1461,"2026/2027"
"Greece","1-4",2026-08-31,2027-08-29,844,"2026/2027"
"Greece","18-59",2026-08-31,2027-08-29,319,"2026/2027"
"Greece","3-5mo",2026-08-31,2027-08-29,685,"2026/2027"
"Greece","5-17",2026-08-31,2027-08-29,69,"2026/2027"
"Greece","6-11mo",2026-08-31,2027-08-29,633,"2026/2027"
"Greece","60-64",2026-08-31,2027-08-29,209,"2026/2027"
"Greece","65-69",2026-08-31,2027-08-29,305,"2026/2027"
"Greece","70-74",2026-08-31,2027-08-29,417,"2026/2027"
"Greece","75-79",2026-08-31,2027-08-29,619,"2026/2027"
"Greece","80+",2026-08-31,2027-08-29,2486,"2026/2027"
"Greece","0-2mo",2027-08-30,2028-08-27,1461,"2027/2028"
"Greece","1-4",2027-08-30,2028-08-27,844,"2027/2028"
"Greece","18-59",2027-08-30,2028-08-27,319,"2027/2028"
"Greece","3-5mo",2027-08-30,2028-08-27,685,"2027/2028"
"Greece","5-17",2027-08-30,2028-08-27,69,"2027/2028"
"Greece","6-11mo",2027-08-30,2028-08-27,633,"2027/2028"
"Greece","60-64",2027-08-30,2028-08-27,209,"2027/2028"
"Greece","65-69",2027-08-30,2028-08-27,305,"2027/2028"
"Greece","70-74",2027-08-30,2028-08-27,417,"2027/2028"
"Greece","75-79",2027-08-30,2028-08-27,619,"2027/2028"
"Greece","80+",2027-08-30,2028-08-27,2486,"2027/2028"
"Hungary","0-2mo",2026-08-31,2027-08-29,1567,"2026/2027"
"Hungary","1-4",2026-08-31,2027-08-29,1157,"2026/2027"
"Hungary","18-59",2026-08-31,2027-08-29,339,"2026/2027"
"Hungary","3-5mo",2026-08-31,2027-08-29,805,"2026/2027"
"Hungary","5-17",2026-08-31,2027-08-29,84,"2026/2027"
"Hungary","6-11mo",2026-08-31,2027-08-29,787,"2026/2027"
"Hungary","60-64",2026-08-31,2027-08-29,173,"2026/2027"
"Hungary","65-69",2026-08-31,2027-08-29,286,"2026/2027"
"Hungary","70-74",2026-08-31,2027-08-29,463,"2026/2027"
"Hungary","75-79",2026-08-31,2027-08-29,466,"2026/2027"
